,name,use,current_price,current_discount,review,opinions
0,Golden Radiance Body Oil,"Aceite corporal 100% natural nutre, reafirma y trata estrías","26,00 €",,4.8,7813 opiniones
1,Glow Edition Body Oil,Iluminador corporal natural con destellos dorados,"29,00 €",,4.5,1405 opiniones
2,Azelaic Radiance Face Treatment,"Tratamiento facial imperfecciones, acné y piel reactiva","35,00 €",,4.6,3559 opiniones
3,Hair Radiance Keratin Spray,"Spray capilar protector y reparador para un cabello sano, brillante y sedoso","16,00 €",,4.2,2801 opiniones
4,Rose Quartz Facial Cleanser,"Gel limpiador facial 99,9% natural","18,00 €",,4.8,5005 opiniones
5,Phoenix Aura Well-Ageing Serum,no_use,"39,00 €",,4.5,228 opiniones
6,Hyaluronic Energy Body Serum,"Sérum corporal piernas cansadas, retención líquidos y varices","26,00 €",,4.6,2531 opiniones
7,Hair Growth & Density Treatment,Sérum de crecimiento capilar,"29,00 €",,3.9,619 opiniones
8,Hyper-Concentrate Eye Contour Serum,Sérum tratamiento contorno de ojos,"35,00 €",,4.5,2367 opiniones
9,Blue Radiance Enzymatic Serum,"Sérum facial exfoliante noche, elimina pieles muertas","35,00 €",,4.6,5081 opiniones
10,Bye Bye Acne Pack,Pack para piel con acné y granitos,"79,00 €",,4.6,184 opiniones
11,Green Vitamin Concentrate Serum,"Sérum de vitamina C, manchas solares y antioxidante","35,00 €",,4.6,1347 opiniones
12,Omega Rich Well-Ageing Cream,"Crema de noche, trata los signos envejecimiento","39,00 €",,4.4,371 opiniones
13,Well-Ageing Treatment Capsules Pack,Pack para frenar y revertir envejecimiento facial,"69,00 €",,4.7,114 opiniones
14,Pro-Repair Jojoba Hand Treatment,Crema de manos y uñas natural,"9,00 €",,4.5,739 opiniones
15,Bloom Orchid Face Cream,Crema hidratante facial de día,"29,00 €",,4.6,2170 opiniones
16,Perfect Volumising Eyebrow Gel,Gel fijador de cejas voluminizador,"15,00 €",,4.6,447 opiniones
17,Vibrant Refreshing Shampoo,Champú sin sulfatos ni siliconas para todo tipo de cabellos,"12,00 €",,4.3,2478 opiniones
18,Calming Sunflower Face Cream,Crema facial infantil 100% natural,"16,00 €",,4.7,369 opiniones
19,Glow Up Body Pack,Aceite corporal + aceite iluminador,"49,00 €",,0,no_opinions
20,Peony Limitless Eyelash Serum,Sérum para las pestañas,"35,00 €",,4.4,1110 opiniones
21,Bronzing Radiance Self-Tanning Cream,"Crema autobronceadora, potenciadora del bronceado","29,00 €",,4,1712 opiniones
22,Advanced Care Eye Contour Pack,Pack para el cuidado del contorno de ojos,"49,00 €",,4.5,2973 opiniones
23,Vitamin Fix Concealer,no_use,"18,00 €",,4.5,606 opiniones
24,Perfect Defining Eyebrow Gel,Gel fijador de cejas transparente,"15,00 €",,4.5,47 opiniones
25,Haircare Detox Plan,Rutina de limpieza cabello normal o graso,"26,00 €",,4.2,1528 opiniones
26,Iridescent Glow Highlighter,Iluminador líquido natural,"15,00 €",,4.7,561 opiniones
27,Red Velvet Oil Serum,Sérum facial nutritivo 100% natural,"35,00 €",,4.7,2081 opiniones
28,Radiant Glow Primer Serum,Prebase de maquillaje natural,"29,00 €",,4.7,730 opiniones
29,Shampoo SolidPod Refill,Champú en pastilla para todo tipo de cabellos,"9,99 €",,3.3,471 opiniones
30,Smooth Body Pack,Tratamiento corporal piel firme,"48,00 €",,4.7,63 opiniones
31,Pacific Ocean Moisturising Gel,Hidratante facial activa para pieles grasas y mixtas,"29,00 €",,4.6,715 opiniones
32,Wonder Curls Routine,no_use,"29,00 €",,4.3,709 opiniones
33,Lime Purifying Facial Toner,Tónico facial para equilibrio pH y cerrar poros,"14,00 €",,4.6,1226 opiniones
34,Satin Skin Cream Foundation,no_use,"22,00 €",,4.5,554 opiniones
35,Mineral Eyeshadow Palette,Paleta de sombras de ojos,"24,00 €",,4.8,142 opiniones
36,Golden Hour Body Pack,"Pack aceite, iluminador coporal y crema autobronceadora","79,00 €",,0,no_opinions
37,Mineral Beauty Brush Pack,no_use,"38,00 €",,4.6,24 opiniones
38,Deep Nourish Lip Balm,Bálsamo labial natural,"8,00 €",,4.4,313 opiniones
39,Eye Contour & Well-Ageing Cream Pack,Contorno y crema de noche signos envejecimiento,"69,00 €",,4.6,97 opiniones
40,Shower Gel SolidPod Refill,Gel de ducha en pastilla para todo tipo de pieles,"7,99 €",,3.5,297 opiniones
41,Natural Glowy Highlighter,Iluminador Laura Escanes,"19,00 €",,4.6,329 opiniones
42,Vegan Hero All-purpose Balm,"Bálsamo vegano calmante, cicatrizante y antiinflamatorio","22,00 €",,4.5,444 opiniones
43,Daily Bath Pack,no_use,"20,00 €",,4.8,351 opiniones
44,Sweet Apple Body Cream,Crema corporal para bebés y niños,"16,00 €",,4.8,514 opiniones
45,Fresh Green Micellar Water,Agua micelar natural,"14,00 €",,4.7,761 opiniones
46,Curly Vibes Defining Cream,Curl defining cream,"15,00 €",,4.1,410 opiniones
47,Shine Control Pack For Oily Skin,Rutina facial completa piel mixta y grasa,"85,00 €",,4.6,213 opiniones
48,F SolidPod Shampoo,Champú en pastilla y aplicador para todo tipo de cabellos,"16,00 €",,3.3,688 opiniones
49,Blueberry Konjac Face Sponge,Esponja facial natural biodegradable,"6,00 €",,4.2,175 opiniones
50,Body Flame Firming Cream,Crema reafirmante corporal,"26,00 €",,4.7,1368 opiniones
51,Silky Passion Cleansing Oil,Aceite limpiador desmaquillante,"18,00 €",,4.4,329 opiniones
52,F SolidPod Shower Gel,Gel de ducha en pastilla y aplicador para todo tipo de pieles,"14,00 €",,3.2,517 opiniones
53,Vitamin C Concentrate Treatment,no_use,"65,00 €",,4.6,359 opiniones
54,Citrus Nourishing Shower Gel,Gel de ducha natural,"9,50 €",,4.8,423 opiniones
55,Reusable Organic Cotton Pads,Discos desmaquillantes reutilizables,"12,00 €",,4.3,335 opiniones
56,Acondicionador Reparador Anti Frizz,Acondicionador sin siliconas 100% natural,"16,00 €",,4.1,443 opiniones
57,Nourish Restore Hair Mask,no_use,"18,00 €",,4.2,510 opiniones
58,Juicy Satin Lipstick,no_use,"16,00 €",,4.3,376 opiniones
59,Rose & Omega Pack,Limpiador + Crema de noche well-ageing,"54,00 €",,4.3,32 opiniones
60,Super Cleanser Trio,no_use,"42,00 €",,4.8,631 opiniones
61,Glow Skin Serum Foundation,no_use,"22,00 €",,4.6,294 opiniones
62,Vitamin Complex Facial Plan,Pack con rutina facial básica hidratante,"59,00 €",,4.7,695 opiniones
63,Instant Fresh Hand Sanitiser,Higienizante de manos natural,"6,00 €",,4.8,494 opiniones
64,Pure Mineral Compact Blush,no_use,"18,00 €",,4.8,190 opiniones
65,Rose Gold Pack,Aceite corporal + Limpiador facial,"39,00 €",,4.6,56 opiniones
66,Rose Passion Cleansing Pack,Rutina doble limpieza,"29,00 €",,4.3,71 opiniones
67,Emerald Clay Facial Mask,Mascarilla facial purificante y natural,"26,00 €",,4.7,359 opiniones
68,Funny Aloe Nourishing Gel,Gel sin jabón,"9,50 €",,4.8,264 opiniones
69,Pure Freshness Toothbrush,Cepillo de dientes de bambú natural y sostenible,"4,00 €",,4.5,228 opiniones
70,Radiant Curls Oil Serum,no_use,"19,00 €",,4.4,92 opiniones
71,Magic Finishing Loose Powder,Polvos fijadores naturales,"22,00 €",,4.6,123 opiniones
72,Nebula Stick - White Cloud,no_use,"15,00 €",,4.6,66 opiniones
73,Biodegradable Raspberry Body Scrub,Exfoliante corporal con partículas naturales biodegradables,"16,00 €",,4.6,268 opiniones
74,Red & Blue Serums Pack,no_use,"65,00 €",,4.8,363 opiniones
75,Soothing Pack For Sensitive Skin,no_use,"75,00 €",,4.8,223 opiniones
76,Smiling Kiwi Mild Shampoo,Champú suave para bebés y niños,"12,00 €",,4.7,270 opiniones
77,Pacific & Blue Pack,Rutina básica para pieles mixtas y grasas,"59,00 €",,4.8,58 opiniones
78,Healthy Bronzing Loose Powder,Polvos bronceadores naturales,"22,00 €",,4.7,327 opiniones
79,Powerful Body Trio,no_use,"72,00 €",,4.7,205 opiniones
80,Soft Konjac Kids Sponge,Esponja konjac 100% natural,"6,00 €",,4.6,146 opiniones
81,Body Essentials Pack,no_use,"46,00 €",,4.7,69 opiniones
82,Dream Peach Body Oil,Aceite corporal infantil,"22,00 €",,4.5,150 opiniones
83,Newborn Pack,no_use,"59,00 €",,4.9,30 opiniones
84,Pure Freshness Toothpaste,Pasta de dientes menta con envase cartón sostenible,"6,50 €",,4.4,269 opiniones
85,Instant Radiance Lip Gloss,no_use,"15,00 €",,4.7,184 opiniones
86,Pure Freshness Pack,no_use,"9,00 €",,4.3,146 opiniones
87,Rosacea Treatment Pack,Pack para reducir los signos de la rosácea,"75,00 €",,4.2,33 opiniones
88,Bronzing Brush Pack,no_use,"32,00 €",,4.8,187 opiniones
89,Healthy Protection Facial Sunscreen,Crema solar facial natural,"35,00 €",,4.4,416 opiniones
90,Happy Avocado Diaper Cream,Crema de pañal 100% natural,"16,00 €",,4.5,91 opiniones
91,Fresh Berry Toothbrush,no_use,"4,00 €",,4.3,57 opiniones
92,Eyeshadow Beauty Brush Pack,no_use,"19,00 €",,5,20 opiniones
93,Facial Antiox Plan,no_use,"82,00 €",,4.7,266 opiniones
94,Lip Lip Hurray,Pintalabios + Brillo de labios,"27,00 €",,4.5,560 opiniones
